GEOID,sovi,rank
g16065,-3.0007353800975483,2753.0
g16067,0.4526469974045406,1339.0
g16069,0.3534334956543703,1394.0
g16071,-3.0585630809274575,2768.0
g16073,0.27679139416782483,1430.0
g16075,0.6254676751699394,1228.0
g16077,-2.3928400717955194,2598.0
g16079,1.5635421180277003,780.0
g16081,-5.101201622836939,3025.0
g16083,-0.26286551885415943,1730.0
g16085,-0.23907675853960153,1717.0
g16087,1.711015291954311,715.0
g17001,0.801179179489097,1138.0
g17003,4.332847412106157,158.0
g17005,-0.45035770691568516,1847.0
g17007,-3.3068456289778467,2822.0
g17009,-7.682143523433297,3124.0
g17011,0.4804638339999854,1321.0
g17013,0.24314858810676426,1446.0
g17015,1.8098773748559551,668.0
g17017,0.9514222864252185,1053.0
g17019,-2.3022951941384577,2572.0
g17021,0.33470642270624773,1404.0
g17023,-0.503505632925046,1869.0
g17025,-0.2969974918522793,1754.0
g17027,-2.627934388985595,2664.0
g17029,0.9172871250603603,1070.0
g17031,1.3074446613269166,894.0
g17033,-1.4199264960789535,2293.0
g17035,-1.0654561013151964,2131.0
g17037,-2.2760993229494626,2565.0
